,,66048a00,66048a00,-,-,-
Bit Info,Diameter (in),8.5,8.5,-,-,-
,Friction,-,-,-,-,-
,Blades,6,6,-,-,-
,,,,,,
"Cutting
Structure",Radial Nose Location (in),2.75,2.75,-,-,-
,Cone Depth (Cd) (in),0.97,0.97,,,
,Cone Angle (Angle) (бу),28,28,-,-,-
,Height (Csh) (in),1.75,1.75,,,
,Backrake (бу),1.31,1.31,,,
,,,,,,
Active Gauge (trimmers),Height (Agh) (in),0.57,0.57,,,
,Backrake (бу),35,35,,,
,Total wear flat (in2),-,-,-,-,-
,,,,,,
Passive Gauge (friction pad),Height (Pgh) (in),3.0,3.0,-,-,-
,Width (Pgw) (in),1.4,1.4,-,-,-
